first_name,middle_name,last_name,fourth,fifth,sixth,seventh,eighth,0.0000
Ciproloc,500mg,Tablet,,,,,,0.9582
Exelon,1.5mg,Capsule,,,,,,0.7265
R,Zole,L,75mg/20mg,Capsule,,,,0.8807
Zimix-Olx,Tablet,,,,,,,0.9317
Nucid,Tablet,,,,,,,0.8720
Nevatel,H,40mg/12.5mg,Tablet,,,,,0.6649
Micef,TZ,200mg/81.5mg,Injection,,,,,0.7561
Osilma,140mg,Tablet,,,,,,0.3411
Osteofit,C,Plus,Soft,Gelatin,Capsule,,,0.9964
Enatome,750mg,Tablet,,,,,,0.6632
Dabistar,75mg,Capsule,,,,,,0.9469
SENSODYNE,RAPID,RELIEF,TOOTH,PASTE,40GM,,,0.2138
Aziz,250mg,Tablet,,,,,,0.1455
Retrazone,S,250mg/125mg,Injection,,,,,0.0711
Pecef,Duo,50,mg/31.25,mg,Suspension,,,0.9825
Cefrone,S,1000mg/500mg,Injection,,,,,0.8596
Asipress-H,50mg/12.5mg,Tablet,,,,,,0.0795
Meroduke,1000mg,Injection,,,,,,0.1400
Parx-D,Tablet,,,,,,,0.7778
Solopan,D,10mg/40mg,Tablet,,,,,0.0957
Walmet,500mg,Tablet,SR,,,,,0.2353
Glycomis,1000mg,Tablet,ER,,,,,0.5921
Casxim,CV,200mg/125mg,Tablet,,,,,0.2607
Epopod,200mg,Tablet,,,,,,0.9752
Tramol,50mg,Injection,,,,,,0.5423
Atp,UP,60mg,Tablet,,,,,0.7164
Ritebeat,100mg,Tablet,,,,,,0.1765
Deflomic,30mg,Tablet,,,,,,0.5143
Amcard-LP,Tablet,,,,,,,0.4455
Rabespan,DSR,30mg/20mg,Capsule,,,,,0.1556
Vocarb-MF,0.2,Tablet,SR,,,,,0.0717
Senzcipro,500mg,Tablet,,,,,,0.4041
Gamanid,Lotion,,,,,,,0.4536
Azitsa,500mg,Tablet,,,,,,0.1694
Leerox,750mg,Injection,,,,,,0.6705
Rantac-Dom,Tablet,,,,,,,0.7574
Omenor,20mg,Capsule,,,,,,0.3761
Mcv,DS,Suspension,,,,,,0.2280
Troyzide,1000mg,Injection,,,,,,0.9962
Typsi,Tablet,,,,,,,0.2083
Ondem,Injection,,,,,,,0.2942
Defiz,6mg,Oral,Suspension,,,,,0.6601
Olapin,10mg,Tablet,,,,,,0.1472
Thioact,8mg,Tablet,,,,,,0.8301
Rozle-DSR,30mg/20mg,Capsule,,,,,,0.1408
Sulpidon,OD,200mg,Tablet,,,,,0.4892
Pt-Zole-D,10mg/20mg,Capsule,,,,,,0.5730
Synacef,750mg,Injection,,,,,,0.8344
Unicif,200mg,Tablet,DT,,,,,0.2050
Gativista,400mg,Tablet,,,,,,0.4898
Rapirab,IT,20mg/150mg,Capsule,SR,,,,0.1542
Dotarin,MF,80,mg/250,mg,Tablet,,,0.2749
Pantvin,40mg,Injection,,,,,,0.7292
Cyclocel,200mg,Injection,,,,,,0.9468
Mextil,500,Tablet,,,,,,0.4870
Queency,25mg,Tablet,,,,,,0.5425
Tri-Olmetor,40,Tablet,,,,,,0.2925
Ect,60,Tablet,,,,,,0.8878
F,Thixol,0.5mg,Tablet,,,,,0.9611
Glipride,M,80mg/500mg,Tablet,,,,,0.2018
AFO,100mg,Capsule,,,,,,0.2772
Olmefast,AH,20mg/5mg/12.5mg,Tablet,,,,,0.0414
ONA,0.25mg,Tablet,MD,,,,,0.3387
Gabasys,N,100mg/10mg,Tablet,,,,,0.0571
Tribetrol,1,Tablet,SR,,,,,0.2302
Lyzoheal,D,Tablet,,,,,,0.5646
Vose,MF,Tablet,ER,,,,,0.8042
Briviact,50mg,Tablet,,,,,,0.4882
Astozole,20mg,Capsule,,,,,,0.4064
Jomee,D,10mg/20mg,Capsule,,,,,0.2255
Telpride,H,80mg/12.5mg,Tablet,,,,,0.7001
Altax-O,Dry,Syrup,,,,,,0.3443
Rifaset,100mg/5ml,Suspension,,,,,,0.8022
Rolomet,50mg,Tablet,XL,,,,,0.8548
Aziclass,100mg,Syrup,,,,,,0.5288
Metivo,25mg,Tablet,CR,,,,,0.9223
Lupimol,150mg,Injection,,,,,,0.7925
Daknos,SP,50mg/325mg/15mg,Tablet,,,,,0.2859
Aldezol,400mg,Tablet,,,,,,0.7024
Pexopram,0.125mg,Tablet,,,,,,0.1580
Vincef,Dry,Syrup,,,,,,0.6019
Ivert,12mg,Tablet,,,,,,0.8617
Cefoxim,1000mg,Injection,,,,,,0.9364
Vildep,M,500mg/50mg,Tablet,,,,,0.5652
Embion,100mg,Injection,,,,,,0.1323
Aqdoxim,DS,100mg,Tablet,,,,,0.4427
Etitop,100mg,Tablet,,,,,,0.9697
Colinol,20mg/650mg,Tablet,,,,,,0.5262
Lactodrox,250mg/60Million,cells,Tablet,DT,,,,0.9876
Nimclav,625mg,Tablet,,,,,,0.8503
Pantin,20mg,Tablet,,,,,,0.3921
Bdroxil,500mg,Tablet,,,,,,0.9071
Gati,OD,400mg,Tablet,,,,,0.3368
Inxity,0.5mg,Tablet,,,,,,0.4746
Neroprox,G,300mg/500mcg,Tablet,,,,,0.5862
Fenac-P,Injection,,,,,,,0.8099
Zyvana,M1,Tablet,SR,,,,,0.9386
Kupen,1000mg,Injection,,,,,,0.3386
Ayubact,500mg,Tablet,,,,,,0.1198
Lenalid,MF,25mg,Capsule,,,,,0.3415
Mucoclav,Kid,200,mg/28.5,mg,Tablet,DT,,0.7337
Cadolac,10mg,Tablet,,,,,,0.9641
Nurocare,PG,750mcg/75mg,Capsule,,,,,0.0159
Bufatas,IV,Injection,,,,,,0.6544
Linocin,300mg,Injection,,,,,,0.1804
Astymin-SN,Infusion,,,,,,,0.7617
Welcef,TB,1000mg/125mg,Injection,,,,,0.8622
Monocortil,10mg,Tablet,,,,,,0.0436
Fixiriv,OF,Dry,Syrup,,,,,0.5088
Neuroserge,400mg,Capsule,,,,,,0.9199
Pyrope,75mg,Capsule,,,,,,0.8975
Gencef,1gm,Injection,,,,,,0.5716
Shalcin,500mg,Injection,,,,,,0.7876
Rb,Pregsave,200mg,Capsule,,,,,0.7626
Aldecef,50mg,Dry,Syrup,,,,,0.0762
Vomimerz,2mg,Injection,,,,,,0.4369
Hepalo,0.5,Tablet,,,,,,0.3636
Tacroz,Forte,Solution,,,,,,0.8656
Ferton,25mg,Tablet,,,,,,0.0918
Zuby,Kid,Drop,,,,,,0.6607
Bipo,Life,100mg,Tablet,,,,,0.7583
Brufix,200mg,Tablet,DT,,,,,0.1377
Triazem,30mg,Tablet,,,,,,0.1053
Valprol-CR,200,Tablet,,,,,,0.2466
Chafe,Oral,Suspension,,,,,,0.2870
Mycodot,Z,Kit,,,,,,0.3372
Volitroy,Spray,,,,,,,0.2454
Encyclo,Guru,100mg,Tablet,,,,,0.9320
Coviself,,,,,,,,0.2873
Ovabless,Tablet,,,,,,,0.2707
Telminik,H,40mg/12.5mg,Tablet,,,,,0.5986
Osmocort,6mg,Tablet,,,,,,0.9573
Prozes,200mg,Capsule,,,,,,0.5698
Mediclav,500mg/125mg,Tablet,,,,,,0.6209
Oncoden,8mg,Tablet,,,,,,0.0519
Azilo,500mg,Tablet,,,,,,0.9121
Hodpro,50mg,Capsule,,,,,,0.3268
Relestat,Ophthalmic,Solution,,,,,,0.9884
Serra,4mg,Tablet,MR,,,,,0.8833
Atorfit,5mg,Tablet,,,,,,0.2784
Omecef,100mg,Tablet,DT,,,,,0.8151
Promet,25mg,Tablet,XL,,,,,0.3371
Actee,150mg/2ml,Injection,,,,,,0.6627
Nipril,H,5mg/12.5mg,Tablet,,,,,0.6530
Aciphenicol,Forte,500mg,Capsule,,,,,0.5089
Habocif,O,Dry,Syrup,,,,,0.2336
Losarwock,H,50mg/12.5mg,Tablet,,,,,0.8036
Praxo,20mg,Tablet,,,,,,0.3023
Pefvin,50mg,Dry,Syrup,,,,,0.7586
Doloset,20mg,Tablet,DT,,,,,0.9222
Starkid,40mg,Sachet,,,,,,0.7578
Defclas,6mg,Tablet,,,,,,0.7032
Amicon,Plus,12.5mg/5mg,Tablet,,,,,0.4355
Corsun,DS,250mg,Oral,Suspension,,,,0.1980
Telcia,40mg,Tablet,,,,,,0.2587
Nuroclox,Kid,125mg/125mg,Tablet,,,,,0.2273
Meceff,S,1000mg/500mg,Injection,,,,,0.0524
Nexporin,500,Capsule,,,,,,0.3484
Anafortan,Injection,,,,,,,0.1422
Rabcap,20mg,Capsule,,,,,,0.7823
Sulfaquin,600mg,Tablet,,,,,,0.6994
Diplomax,Lotion,,,,,,,0.7619
Mefecure,D,80mg/250mg,Tablet,,,,,0.9049
Rabetus,20mg,Tablet,,,,,,0.1371
Gaviscon,Suspension,150ml,,,,,,0.9048
Sanomet,GP,1mg/500mg/15mg,Tablet,,,,,0.3066
Normabrain,400mg,Capsule,,,,,,0.7646
Yoncef,250mg/125mg,Injection,,,,,,0.2758
Effrab,D,30mg/20mg,Tablet,,,,,0.9107
Forson,500mg,Tablet,SR,,,,,0.1938
Carden,25mg,Tablet,,,,,,0.4643
Udeboost,300,Tablet,,,,,,0.7687
Azneten,M,Tablet,ER,,,,,0.2827
Avas,CV,20mg,Capsule,,,,,0.9351
T,Pod,50mg,Tablet,DT,,,,0.0743
Ceftraset-S,1.5gm,Injection,,,,,,0.8060
Oltide,10mg,Tablet,,,,,,0.4774
Odigest,200mg,Soft,Gelatin,Capsule,,,,0.9460
Instarise,100mg,Tablet,,,,,,0.2621
Gabalife,N,400mg/10mg,Tablet,,,,,0.8127
Ribcobal,10000mcg,Injection,,,,,,0.9447
Tryp,C,Tablet,,,,,,0.8924
Zecta,Injection,,,,,,,0.2533
Oraret,10,Capsule,,,,,,0.7773
Metonce,50,Tablet,ER,,,,,0.6352
Ticpar,250mg,Oral,Suspension,,,,,0.2875
Nayacef,200mg,Tablet,DT,,,,,0.4812
Avetryp,Tablet,,,,,,,0.4123
Regan,10mg,Tablet,,,,,,0.3772
Odistro,4mg,Tablet,MD,,,,,0.6715
Weltoss,T,250mg/31.25mg,Injection,,,,,0.2073
Evitam,400mg,Tablet,,,,,,0.7040
Akutop-D,Tablet,,,,,,,0.4910
Combutol,400,Tablet,,,,,,0.9310
Necflo-OZ,200mg/600mg,Tablet,,,,,,0.9963
Y-Clast,Infusion,,,,,,,0.8609
Tensaril,10mg,Tablet,,,,,,0.7289
Amiodar,100,Tablet,,,,,,0.7131
Aeropro,40mg,Tablet,,,,,,0.3255
Lansojoy,30,Tablet,DT,,,,,0.4890
Moximark,0.50%,Eye/Ear,Drops,,,,,0.0230
Voncef,O,Dry,Syrup,,,,,0.0322
Moxicip,Tablet,,,,,,,0.0956
Chemlet,2.5mg,Tablet,,,,,,0.0429
Robama,DSR,30mg/20mg,Capsule,,,,,0.7579
Hyvon,Spas,HG,10mg/65mg/400mg,Tablet,,,,0.3770
Gardenal,60,Tablet,,,,,,0.9138
Buffpan,D,30mg/40mg,Capsule,,,,,0.9982
Predone,Eye,Drop,,,,,,0.1170
Dincyp,Syrup,,,,,,,0.6419
Betaone-XL,25,Activ,Tablet,,,,,0.3700
Dolxor,650mg,Tablet,,,,,,0.4364
Pridep,S,5mg,Tablet,,,,,0.0536
Ecovog,0.3mg,Tablet,,,,,,0.6891
Fotaran,TZ,1.25gm,Injection,,,,,0.2041
Anocef,1000mg,Injection,,,,,,0.1833
Cewar,100mg,Tablet,DT,,,,,0.3988
Dartmet-PG2,Tablet,SR,,,,,,0.7718
Sycot,2.5mg/2mg,Tablet,,,,,,0.3673
Benzylpenicillin,500000IU,Injection,,,,,,0.0284
Rabzorab,LS,75mg/20mg,Capsule,SR,,,,0.3757
Telcer,40mg,Tablet,,,,,,0.4386
Elzithrosin,500mg,Tablet,,,,,,0.5088
Amaryl,P,15,mg/2,mg,Tablet,,,0.9820
Orex-LO,Gel,,,,,,,0.1779
Linicef,50mg,Syrup,,,,,,0.5525
PV,Clav,500mg/125mg,Tablet,,,,,0.6869
Clobavate-S,Ointment,,,,,,,0.2010
Tel-Revelol,40/50,Tablet,ER,,,,,0.2330
Pantapil,D,10mg/40mg,Tablet,,,,,0.6724
Suctum,CF,500mg/500mg,Injection,,,,,0.5468
Paraquin,DS,500mg,Tablet,,,,,0.5565
Pvcif,200mg,Tablet,,,,,,0.6422
Azigro,200mg,Syrup,,,,,,0.0558
Jpcef,250mg,Injection,,,,,,0.3719
Gerd,DSR,30mg/20mg,Capsule,,,,,0.1089
Artetoss,120mg,Injection,,,,,,0.6082
Bludrox,A,30,mg/500,mg,Tablet,,,0.0094
Ofler,200mg,Tablet,,,,,,0.6706
Zuroxim,250mg,Tablet,,,,,,0.8528
Bizo,500mg,Injection,,,,,,0.2079
Thrize,Tablet,,,,,,,0.1066
L,Lox,500mg,Tablet,,,,,0.8853
Glimmat,2mg,Tablet,,,,,,0.6896
Oline,20,Tablet,,,,,,0.9305
Progestone,200mg,Soft,Gelatin,Capsule,,,,0.3269
Flatron,4mg,Tablet,,,,,,0.6831
Rabizorb,DSR,Capsule,,,,,,0.3201
Okatop,Injection,,,,,,,0.1662
Asdry-S,1.5gm,Injection,,,,,,0.7542
Biocof,Junior,Syrup,60ml,,,,,0.5340
Ribrol,D,10mg/20mg,Tablet,,,,,0.0494
Deproxet-PR,12.5,Tablet,,,,,,0.9318
Clomine,75mg,Tablet,,,,,,0.2527
Omdarsh,D,10mg/20mg,Capsule,,,,,0.4899
Megazone,S,500,mg/500,mg,Injection,,,0.0999
Rabidzol,20,Tablet,,,,,,0.2147
Glycimet-PG1,Tablet,ER,,,,,,0.4711
Cefde,50mg,Syrup,,,,,,0.5668
Rabican,40mg,Tablet,,,,,,0.2114
Vertistar,#NAME?,16,Tablet,,,,,0.6162
Qxl,OZ,200,mg/500,mg,Tablet,,,0.1641
Famol,500mg,Tablet,,,,,,0.1677
Dexpure,10mg,Injection,,,,,,0.3539
Betalfa,150mg,Injection,,,,,,0.4063
Divalox,1000mg,Tablet,DR,,,,,0.7406
Allsef,125mg,Tablet,,,,,,0.2328
Abivog,GM,1mg/500mg/0.2mg,Tablet,SR,,,,0.2174
Methastar,0.2mg,Injection,,,,,,0.7173
Gilran,M,80mg/500mg,Tablet,,,,,0.0672
Nexovas,10,Tablet,,,,,,0.7935
Surgicip,TZ,500mg/600mg,Tablet,,,,,0.3973
Sparom,20mg,Capsule,,,,,,0.7938
Toflox,200mg,Syrup,,,,,,0.9566
Mebendex,500mg,Tablet,,,,,,0.1476
Optimox,CV,500,mg/125,mg,Tablet,,,0.4089
Timdus,0.50%,Eye,Drop,,,,,0.0580
Metheal,500mg,Tablet,SR,,,,,0.9691
Mag,20mg,Tablet,,,,,,0.4754
Olate,50mg,Tablet,,,,,,0.7593
Notriax,SB,1000mg/500mg,Injection,,,,,0.2996
Nimkair-F,Syrup,,,,,,,0.5434
Moxmis,250,DT,Tablet,,,,,0.0808
Tax,MF,500mg/250mg,Tablet,,,,,0.3399
Feno-TG,Tablet,,,,,,,0.5974
Rabexo,20mg,Tablet,,,,,,0.7777
Cefpocare,50mg,Tablet,DT,,,,,0.7745
Cbzone,1gm,Injection,,,,,,0.4802
Candyzole,200mg,Capsule,,,,,,0.0088
A,Cef,1gm,Injection,,,,,0.7837
AMRIK,250MG/250MG,INJECTION,,,,,,0.1089
Bical,50,Tablet,,,,,,0.1977
Azulix,2,MF,Forte,Tablet,PR,,,0.8406
Fanclox,Capsule,,,,,,,0.6003
GQ,320,MG,TABLET,,,,,0.4268
Cool,Rab-IT,20mg/150mg,Capsule,,,,,0.4695
Ceretor,1200mg,Tablet,,,,,,0.6727
Olistor,40mg,Tablet,,,,,,0.8813
Fludep,10mg,Capsule,,,,,,0.4364
Synate,60mg,Injection,,,,,,0.3940
Jipan,40mg,Tablet,,,,,,0.8343
Vapal,150mg,Tablet,,,,,,0.3539
Cicardia,20mg,Tablet,,,,,,0.5807
SSN,-,DS,Tablet,DR,,,,0.7676
Viltacef,750mg,Injection,,,,,,0.3407
Proxim,125mg,Dry,Syrup,,,,,0.3178
Otobel,Ear,Drop,,,,,,0.0197
Leobert,500mg,Tablet,,,,,,0.2070
Amijos,75mg,Tablet,,,,,,0.2645
Etrocef-OZ,Tablet,,,,,,,0.8858
Fondakem,2.5mg,Injection,,,,,,0.0247
Azinus,500mg,Tablet,,,,,,0.5737
Varil,1000,Tablet,,,,,,0.4159
Rebo,D,10mg/20mg,Tablet,,,,,0.0128
Oldace-OZ,Kid,Oral,Suspension,Mango,,,,0.2204
Spinobak,10,Tablet,,,,,,0.2040
Pregabanyl,NT,Tablet,,,,,,0.2779
Ipcacin,Kid,100,mg/100,mg,Tablet,,,0.3963
Osogat,400mg,Tablet,,,,,,0.3673
ND,Lex,5mg,Syrup,,,,,0.5058
Clomilent,10mg,Tablet,,,,,,0.7068
Lexime,200mg,Tablet,,,,,,0.7093
Cnpx,200mg,Capsule,,,,,,0.2758
Duphalac,Oral,Solution,,,,,,0.0766
Altipod,200mg,Tablet,,,,,,0.1995
Azoflox,200mg,Tablet,,,,,,0.9186
Amonit,Plus,500,mg/125,mg,Tablet,,,0.5307
Glychek,40,Tablet,,,,,,0.5986
Suncob,1500mcg,Injection,,,,,,0.6837
Netlimix,300mg,Injection,,,,,,0.2039
Svizlex,500mg,Capsule,,,,,,0.8038
Ongul,Syrup,,,,,,,0.7802
Ziglim,Plus,1,Tablet,SR,,,,0.9619
Stugest,Plus,20mg/40mg,Tablet,,,,,0.7267
Alfaba,RT,150mg,Injection,,,,,0.9227
Decamid,25,Injection,,,,,,0.6503
Mitpin,15mg,Tablet,,,,,,0.8196
Hhamclav,625,Tablet,,,,,,0.2211
Maclar,500mg,Tablet,SR,,,,,0.3857
Albocef,250,Tablet,,,,,,0.2556
Ivermectol,6,Tablet,,,,,,0.0146
Chimox,Plus,250mg/250mg,Capsule,,,,,0.4447
Eurogesic,MR,250mg/50mg/500mg,Tablet,,,,,0.0457
Acarjohn,50,Tablet,,,,,,0.5817
Acecofine,100mg,Tablet,,,,,,0.2458
Belfix,100mg,Tablet,DT,,,,,0.2596
X-Cain,2%,Jelly,,,,,,0.5670
Ondonax,4mg,Tablet,MD,,,,,0.2838
Ventoranz,DX,Syrup,60ml,,,,,0.6475
Lirotek,200mg,Tablet,,,,,,0.2982
Ambose,M,500mg/0.2mg,Tablet,,,,,0.0682
Polo,50mg,Tablet,,,,,,0.8351
Odeworm,Plus,6mg/400mg,Tablet,,,,,0.2762
Flex,50mg,Suspension,,,,,,0.5959
Sumdec,50mg,Injection,,,,,,0.2644
4,Quin,400mg,Tablet,,,,,0.0716
Thamlostat,250mg,Tablet,,,,,,0.0743
Regulate,50mg,Tablet,,,,,,0.6231
Dabur,Janma,Ghunti,60ml,,,,,0.2539
Roxirite,150mg,Tablet,,,,,,0.4772
Foxis,Plus,200mg/200mg,Tablet,,,,,0.3382
Mefvin,TR,500mg/250mg,Tablet,,,,,0.1424
Ovofar,100mg,Tablet,,,,,,0.3121
Tiaptin,12.5mg,Tablet,,,,,,0.6092
Tronol,500,mg/37.5,mg,Tablet,,,,0.7611
Rispee,4mg,Tablet,,,,,,0.6240
Sorliv,Oral,Solution,,,,,,0.5086
Soletizer,Syrup,,,,,,,0.4483
Osteonuron,750,mcg/75,mg,Capsule,,,,0.7022
Defigo,6,Tablet,DT,,,,,0.8642
Wikigesic,MR,Tablet,,,,,,0.4862
Dilop,2mg,Tablet,,,,,,0.9744
Ratic,D,30mg/20mg,Capsule,SR,,,,0.2869
Ozap,7.5mg,Tablet,,,,,,0.4648
Fern,50,mg/125,mg,Capsule,,,,0.9958
Finabate,200mg,Tablet,,,,,,0.3403
Qupex,25,Tablet,,,,,,0.6448
Gemat,80,mg/500,mg,Tablet,,,,0.2226
Gemfix,200mg,Tablet,,,,,,0.1694
Olmibp,H,12.5mg/40mg,Tablet,,,,,0.5813
Vogz,0.3,Tablet,,,,,,0.7944
Scm,Lite,0.5mg/10mg,Tablet,,,,,0.7491
Prout,20mg,Tablet,,,,,,0.7210
Defcot,30mg,Tablet,,,,,,0.7206
Tetradep,20mg,Tablet,,,,,,0.2617
Etofine,90mg,Capsule,,,,,,0.4088
Oflopip,50mg,Syrup,,,,,,0.1549
Dorflexin,250mg,Capsule,,,,,,0.7585
Cixi,200mg,Tablet,,,,,,0.9462
Vanate,60mg,Injection,,,,,,0.9630
Zof,OZ,Tablet,,,,,,0.7930
Lagesic,Injection,,,,,,,0.4094
Vomara,40mg,Tablet,,,,,,0.4177
Edmin,G,2mg/500mg,Tablet,,,,,0.5810
Hypnozine,100mg,Tablet,,,,,,0.5527
Tramopic,100mg,Injection,,,,,,0.9735
Tise,75mg,Injection,,,,,,0.0208
Nervigesic,OD,1500mcg,Injection,,,,,0.2070
Telmimer,40mg,Tablet,,,,,,0.2193
Zolidac,10mg,Tablet,,,,,,0.5901
Carbatag,150mg,Tablet,,,,,,0.5403
Cureof,200mg,Tablet,,,,,,0.2425
Domar,OX,Suspension,,,,,,0.8014
Panrem,D,30mg/40mg,Capsule,SR,,,,0.8478
Oflomix,50mg,Tablet,,,,,,0.3801
Europred,10mg,Tablet,,,,,,0.7288
Zorno,Tablet,,,,,,,0.4993
Ursobiac,Tablet,,,,,,,0.9612
Mepride,PM,1mg/500mg/15mg,Tablet,,,,,0.8001
Mietrex,TM,1000mg/125mg,Injection,,,,,0.6809
Stacef,SB,1000mg/500mg,Injection,,,,,0.7851
Biosox,10mg,Tablet,,,,,,0.6042
Flavix,75mg,Tablet,XR,,,,,0.0177
Olfo,50mg,Suspension,,,,,,0.6076
Fungiwald,100mg,Capsule,,,,,,0.8903
DF,6mg,Tablet,,,,,,0.8367
Levotal,250mg,Tablet,,,,,,0.6933
Neurokey,1500mcg,Injection,,,,,,0.2733
Glataxone,Injection,,,,,,,0.1891
Enam,5,Tablet,,,,,,0.7104
I,M,Sure,250mg,Tablet,,,,0.8839
HOT,WATER,BAG,LARGE,1s,,,,0.2978
Stronat,Granules,,,,,,,0.0597
Synocort,40mg,Injection,,,,,,0.6622
Trucef,Dry,Syrup,,,,,,0.6118
Relicin,500mg,Injection,,,,,,0.0852
LV,Flox,Eye,Drop,,,,,0.5083
Moxilink,C,Dry,Syrup,,,,,0.1245
Glicas,M,80mg/500mg,Tablet,,,,,0.6646
Ensame,200mg,Tablet,,,,,,0.3375
Oxywiz,450mg,Tablet,,,,,,0.3493
Alom,D,10mg/20mg,Capsule,,,,,0.9055
Fulcef,O,200mg/200mg,Tablet,,,,,0.9317
Densteron,2mg,Injection,,,,,,0.6099
Anxicure,1mg,Tablet,,,,,,0.6464
Laxan,Oral,Solution,,,,,,0.2412
Cefofix,O,DT,100mg,Tablet,,,,0.8997
Kyprolis,60mg,Injection,,,,,,0.8556
Marheal,Tablet,,,,,,,0.5165
Deron,Tablet,,,,,,,0.4401
Apalene,0.10%,Gel,,,,,,0.5821
Peridol,Injection,,,,,,,0.1357
Scarab,Cream,,,,,,,0.3751
Topgraf,0.10%,Ointment,,,,,,0.9760
Navalin,Chrono,200,Tablet,,,,,0.1676
Moxcem,250mg,Capsule,,,,,,0.3105
Tenormin,100,Tablet,,,,,,0.0065
Ziprax,CL,200mg/125mg,Tablet,,,,,0.6848
Mexim,100mg,Tablet,DT,,,,,0.3436
Endoxan,1000mg,Injection,,,,,,0.7815
Flocil,250mg,Injection,,,,,,0.2981
Manforce,Stamina,Condoms,Orange,Flavour,3s,,,0.2710
Neolone,50mg,Injection,,,,,,0.6182
Moxifem,CV,Dry,Syrup,,,,,0.3752
Spas,10,mg/40,mg,Drop,,,,0.6566
Cefdac,Plus,200mg/200mg,Tablet,,,,,0.3098
Zox,APT,Tablet,,,,,,0.7817
Permimite,Lotion,,,,,,,0.2126
Bitoz-SB,Injection,,,,,,,0.8970
Mexcelol,50mg,Tablet,,,,,,0.5059
Motiwin,1mg/ml,Suspension,,,,,,0.0296
Ikamed,Eye,Drop,,,,,,0.0380
Zimnex,CV,200mg/125mg,Tablet,,,,,0.3633
Ceflee,500mg,Tablet,,,,,,0.9782
Zypex,9%,Mouth,Ulcer,Gel,,,,0.3550
Bactizole,O,200mg/500mg,Tablet,,,,,0.6800
Numcid,20mg,Capsule,,,,,,0.0894
Gluconor,80mg/500mg,Tablet,,,,,,0.8809
Elpod,100mg,Tablet,DT,,,,,0.7551
Cefoact,200mg,Tablet,,,,,,0.6601
Netilmac,150mg,Injection,,,,,,0.5530
Eisi,500mg,Tablet,,,,,,0.5425
Calagy,D,Lotion,100ml,,,,,0.3033
Octyl,200mg/200mg,Tablet,,,,,,0.6967
Cytarabine,1000mg,Injection,,,,,,0.4497
Omenix,20mg,Capsule,,,,,,0.8196
Acedol,Gel,,,,,,,0.2728
Zedflox,TZ,400mg/600mg,Tablet,,,,,0.0567
Lenoflox,OZ,250mg/500mg,Tablet,,,,,0.9088
Kyocef-O,200mg/200mg,Tablet,,,,,,0.9947
Anzol,DSR,Capsule,,,,,,0.7314
Cefrad,S,1000mg/500mg,Injection,,,,,0.9188
Sparflin,400mg,Tablet,,,,,,0.2213
Artimisa,80mg,Injection,,,,,,0.1002
Chlorpromazine,50mg,Tablet,,,,,,0.5164
Himalaya,Lukol,Tablet,,,,,,0.8541
Cevicim,Syrup,,,,,,,0.9790
NGT,2.5mg,Capsule,CR,,,,,0.7266
Telmicure,MP,40mg/50mg,Tablet,,,,,0.5273
Emedox,OD,Tablet,,,,,,0.1645
Startel,40mg,Tablet,,,,,,0.0127
Podotic,CV,Xtra,Dry,Syrup,,,,0.4404
Cezonum,S,1000mg/500mg,Injection,,,,,0.1903
Bactovan,1000,mg/200,mg,Injection,,,,0.8813
Diflumox,Eye,Drop,,,,,,0.6044
Amipride,50,Tablet,,,,,,0.4363
Levesol,500mg,Tablet,,,,,,0.3777
Tramakind,100mg,Injection,,,,,,0.0208
Mionate,Injection,,,,,,,0.1970
Flutivate,Cream,,,,,,,0.6389
Aciless,LS,75,mg/20,mg,Capsule,,,0.1323
Aripant,40mg,Injection,,,,,,0.0538
Combac,60mg,Tablet,,,,,,0.9422
Eftim,500mg/250mg,Injection,,,,,,0.6947
Ceforal,250mg,Tablet,DT,,,,,0.3522
Glofoxin-CF,200mg/200mg,Tablet,,,,,,0.0316
Glinix-MP1,Tablet,,,,,,,0.4166
Hexidine,Mouth,Wash,Anise,Fresh,Sugar,Free,,0.8880
Hobs-S,Cream,,,,,,,0.0246
Tolin,D,10mg/40mg,Tablet,,,,,0.3945
Petron,4mg,Injection,,,,,,0.1612
Syntram,Injection,,,,,,,0.6972
Azisuper,100mg,Suspension,,,,,,0.5521
Itrasmart,100mg,Capsule,,,,,,0.4724
Piptal,1.125gm,Injection,,,,,,0.6976
Rabecon-DM,Tablet,,,,,,,0.5315
Cipi,O,Dry,Syrup,Pineapple,,,,0.7364
Myzolix,LZ,200mg/600mg,Tablet,,,,,0.9260
Zosa-DSR,Capsule,,,,,,,0.5225
Tormax,25,Tablet,,,,,,0.7683
Nocid,20mg,Capsule,,,,,,0.9168
Penstal,40mg,Injection,,,,,,0.6849
Perasul,1000,mg/500,mg,Injection,,,,0.0242
Pikomet,5mg,Syrup,,,,,,0.1661
Zonkind,500mg/500mg,Injection,,,,,,0.3164
Troxy,Kid,50mg,Tablet,,,,,0.5696
Falcipride,LF,Dry,Syrup,,,,,0.6423
Ansecare,4mg,Injection,,,,,,0.7858
Ofcura,50mg,Dry,Syrup,,,,,0.1719
Ocubion,6%,Eye,Ointment,,,,,0.5128
AZ3,100,Liquid,,,,,,0.4886
Pantacare,D,30mg/40mg,Capsule,SR,,,,0.9550
Nexzap,0.25mg,Tablet,,,,,,0.8119
Seloken,XL,25mg,Tablet,,,,,0.6144
Etholate,Drop,,,,,,,0.4691
Suzox,Forte,Tablet,,,,,,0.5530
Finograt,145mg,Tablet,,,,,,0.8953
